Group 10,,,,,
Average similarity: 46.29,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.31,8.76,#######,18.92,18.92
33.63655172,2.29,6.15,#######,13.28,32.19
15.45769231,2.28,6.09,#######,13.16,45.35
38.5183871,2.23,5.9,#######,12.76,58.11
19.72268293,1.46,4.17,#######,9,67.11
16.3974359,1.25,3.88,#######,8.39,75.5
20.51086207,1.13,2.55,#######,5.51,81.01
14.6988,0.83,2.51,#######,5.42,86.42
22.55076923,0.91,2.5,#######,5.4,91.83
,,,,,
Group 12,,,,,
Average similarity: 49.02,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.89,6.63,#######,13.53,13.53
26.78859155,2.23,5.38,#######,10.98,24.51
19.72268293,2.08,4.85,#######,9.89,34.4
38.5183871,2.01,4.3,#######,8.78,43.18
16.3974359,1.79,4.15,#######,8.47,51.65
9.755306122,1.55,3.82,#######,7.8,59.45
20.51086207,1.09,2.45,#######,5.01,64.45
15.74219178,1.04,2.25,#######,4.59,69.05
17.40942623,0.94,2.15,#######,4.39,73.43
19.66514286,0.95,2.04,#######,4.16,77.59
14.6988,0.79,1.94,#######,3.97,81.56
13.7290678,0.96,1.9,#######,3.88,85.43
22.55076923,0.88,1.73,#######,3.52,88.96
19.6197619,0.97,1.67,#######,3.41,92.36
,,,,,
Group 14,,,,,
Average similarity: 35.16,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%, Cum.%
15.45769231,2.68,11.18,#######,31.8,31.8
19.72268293,2.52,10.49,#######,29.85,61.65
16.3974359,2.17,7.91,#######,22.5,84.14
20.51086207,1.45,5.57,#######,15.86,100
,,,,,
Group 15,,,,,
Average similarity: 46.37,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.71,14.67,#######,31.64,31.64
26.78859155,2.44,9.95,#######,21.46,53.1
19.52538462,1.97,8.15,#######,17.58,70.68
21.34820513,1.58,5.52,#######,11.9,82.58
21.405,1.48,5.18,#######,11.17,93.75
,,,,,
Group 16,,,,,
Average similarity: 40.38,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.28,4.23,#######,10.48,10.48
19.72268293,2.16,3.59,#######,8.89,19.37
37.56363636,1.5,3.08,#######,7.62,26.99
15.538,1.66,2.85,#######,7.05,34.04
20.51086207,1.39,2.68,#######,6.62,40.67
21.57529412,1.44,2.62,#######,6.49,47.15
15.62272727,1.52,2.56,#######,6.35,53.5
14.6988,1.04,2.31,#######,5.71,59.21
8.47375,1.17,2.24,#######,5.55,64.76
17.62533333,1.14,2.16,#######,5.34,70.1
20.8027027,0.86,1.89,#######,4.69,74.79
17.40942623,1.02,1.82,#######,4.51,79.29
19.20891892,0.93,1.72,#######,4.25,83.54
19.66514286,1.17,1.68,#######,4.15,87.69
16.2865,0.69,1.46,#######,3.61,91.31
,,,,,
Group 17,,,,,
Average similarity: 52.81,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,3.08,10.91,#######,20.67,20.67
19.72268293,2.57,8.92,#######,16.9,37.56
16.3974359,2.31,8.28,#######,15.69,53.25
8.061111111,2.2,7.53,#######,14.27,67.52
19.66514286,1.62,4.43,#######,8.4,75.92
21.57529412,1.35,4.38,#######,8.29,84.21
20.51086207,1.44,4.22,#######,8,92.21
,,,,,
Group 18,,,,,
Average similarity: 56.86,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.85,8.43,#######,14.83,14.83
19.72268293,2.47,7.65,#######,13.46,28.3
16.3974359,2.36,7.02,#######,12.34,40.63
26.78859155,2.28,6.99,#######,12.3,52.94
13.79738095,1.86,5.56,#######,9.78,62.72
15.74219178,1.88,5.06,#######,8.9,71.61
19.66514286,1.56,4.54,#######,7.99,79.6
17.40942623,1.68,4.37,#######,7.68,87.28
20.51086207,1.37,4.23,#######,7.43,94.72
,,,,,
Group 19,,,,,
Average similarity: 44.28,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.27,6.52,#######,14.72,14.72
15.45769231,1.92,3.66,#######,8.27,22.99
19.72268293,1.72,3.53,#######,7.98,30.97
21.57529412,1.01,2.25,#######,5.07,36.05
20.51086207,1.13,2.21,#######,5,41.05
20.8027027,1.15,2.21,#######,4.99,46.04
19.20891892,0.98,2.04,#######,4.6,50.64
30.80365385,1.25,2.03,#######,4.59,55.23
19.66514286,0.89,1.87,#######,4.23,59.46
22.7275,0.82,1.78,#######,4.02,63.48
17.40942623,0.86,1.68,#######,3.78,67.26
27.68736842,0.65,1.47,#######,3.33,70.59
12.39733333,0.62,1.46,#######,3.3,73.89
20.361875,0.72,1.33,#######,3,76.89
13.7290678,0.66,1.28,#######,2.89,79.78
22.76894737,0.65,1.25,#######,2.83,82.6
18.22411765,0.65,1.1,#######,2.49,85.09
16.2865,0.66,1.1,#######,2.48,87.58
19.97269231,0.5,0.99,#######,2.24,89.82
19.86137931,0.49,0.95,#######,2.15,91.97
,,,,,
Group 2,,,,,
Average similarity: 22.75,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%, Cum.%
19.72268293,3.36,10.03,#######,44.11,44.11
21.405,1.77,4.92,#######,21.62,65.73
21.34820513,1.68,4.58,#######,20.12,85.85
22.76894737,1.46,3.22,#######,14.15,100
,,,,,
Group 20,,,,,
Average similarity: 65.73,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.01,13.1,#######,19.93,19.93
15.45769231,3.17,12.53,#######,19.06,38.98
19.72268293,2.58,11.03,#######,16.79,55.77
16.3974359,2.45,10.67,#######,16.24,72.01
15.74219178,1.63,6.48,#######,9.86,81.87
21.57529412,1.44,6.08,#######,9.25,91.12
,,,,,
Group 21,,,,,
Average similarity: 52.14,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.72,6.51,#######,12.49,12.49
17.40942623,2.54,5.86,#######,11.25,23.74
26.78859155,2.17,5.3,#######,10.16,33.9
19.72268293,1.85,4.22,#######,8.09,41.99
16.3974359,1.63,3.49,#######,6.7,48.69
15.74219178,1.94,3.14,#######,6.02,54.71
9.755306122,1.03,2.48,#######,4.76,59.47
21.57529412,0.85,1.97,#######,3.79,63.26
19.20891892,0.71,1.76,#######,3.37,66.62
13.7290678,0.85,1.73,#######,3.31,69.93
17.62533333,0.88,1.72,#######,3.3,73.23
20.84133333,0.68,1.72,#######,3.29,76.53
20.25794118,1.48,1.69,#######,3.23,79.76
20.51086207,0.98,1.68,#######,3.23,82.99
14.6988,0.85,1.65,#######,3.16,86.15
17.95647059,0.73,1.42,#######,2.73,88.88
19.66514286,0.79,1.4,#######,2.68,91.56
,,,,,
Group 23,,,,,
Average similarity: 62.92,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.62272727,2.5,4.47,#######,7.1,7.1
15.45769231,1.79,3.42,#######,5.43,12.53
19.72268293,1.78,3.38,#######,5.38,17.91
15.538,1.79,3.19,#######,5.06,22.97
18.295,1.71,2.8,#######,4.44,27.41
17.325,1.42,2.59,#######,4.11,31.53
17.40942623,1.53,2.45,#######,3.89,35.42
26.78859155,1.34,2.09,#######,3.32,38.74
21.49942857,1.31,1.94,#######,3.09,41.83
11.84727273,1.11,1.81,#######,2.88,44.71
19.20891892,0.93,1.77,#######,2.81,47.52
20.8027027,0.92,1.75,#######,2.79,50.31
19.66514286,1.01,1.72,#######,2.74,53.05
20.51086207,0.82,1.62,#######,2.57,55.62
23.216,1.25,1.51,#######,2.4,58.02
10.471875,0.82,1.47,#######,2.33,60.35
16.2865,0.91,1.41,#######,2.24,62.6
13.18133333,0.74,1.38,#######,2.2,64.8
14.05666667,0.68,1.35,#######,2.15,66.94
12.39733333,0.69,1.34,#######,2.14,69.08
23.07416667,0.72,1.33,#######,2.11,71.19
19.97269231,0.64,1.24,#######,1.98,73.17
15.74219178,0.72,1.2,#######,1.9,75.07
22.76894737,0.8,1.05,#######,1.67,76.74
9.915,0.63,1.03,#######,1.63,78.37
14.64409091,0.56,0.93,#######,1.48,79.85
21.21238095,0.47,0.89,#######,1.41,81.26
21.82333333,0.44,0.86,#######,1.37,82.64
10.75428571,0.53,0.78,#######,1.24,83.87
14.52461538,0.54,0.77,#######,1.22,85.09
12.79166667,0.46,0.76,#######,1.21,86.31
20.25794118,0.4,0.74,#######,1.18,87.49
12.66740741,0.57,0.74,#######,1.18,88.66
24.66947368,0.54,0.73,#######,1.17,89.83
24.72,0.42,0.7,#######,1.11,90.94
,,,,,
Group 24,,,,,
Average similarity: 55.44,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.33,4.86,#######,8.77,8.77
19.72268293,2.11,4.68,#######,8.45,17.22
26.78859155,2.67,4.11,#######,7.41,24.63
20.8027027,1.33,2.88,#######,5.19,29.82
8.061111111,1.68,2.71,#######,4.88,34.7
20.51086207,1.18,2.58,#######,4.66,39.35
19.20891892,1.17,2.58,#######,4.65,44
19.66514286,1.05,2.29,#######,4.14,48.14
21.12214286,1.09,2.25,#######,4.06,52.19
12.39733333,0.82,1.81,#######,3.27,55.46
30.80365385,1.04,1.81,#######,3.26,58.73
16.2865,0.86,1.71,#######,3.09,61.82
22.7275,0.86,1.69,#######,3.06,64.87
18.22411765,0.77,1.6,#######,2.88,67.76
19.97269231,0.72,1.56,#######,2.81,70.56
15.74219178,1.15,1.41,#######,2.54,73.1
22.76894737,0.72,1.41,#######,2.54,75.64
21.49942857,0.99,1.39,#######,2.51,78.15
13.7290678,0.65,1.36,#######,2.45,80.61
12.66740741,0.62,1.31,#######,2.36,82.96
19.86137931,0.69,1.27,#######,2.29,85.26
27.68736842,0.83,1.2,#######,2.16,87.42
13.79738095,1.07,1.15,#######,2.08,89.5
20.568,0.51,1.11,#######,2.01,91.51
,,,,,
Group 25,,,,,
Average similarity: 58.08,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,3.06,9.24,#######,15.9,15.9
26.78859155,2.6,8.23,#######,14.17,30.08
19.72268293,2.36,7.56,#######,13.02,43.09
16.3974359,2.08,6.43,#######,11.08,54.17
38.5183871,1.6,4,#######,6.89,61.06
14.6988,1.31,3.79,#######,6.52,67.58
20.51086207,1.22,3.59,#######,6.18,73.76
17.62533333,1.1,3.46,#######,5.95,79.71
13.7290678,1.27,3.33,#######,5.73,85.44
37.56363636,1.47,3.14,#######,5.4,90.84
,,,,,
Group 26,,,,,
Average similarity: 66.78,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.82,15.67,#######,23.46,23.46
26.78859155,2.93,10.47,#######,15.67,39.13
19.52538462,1.88,7.72,#######,11.57,50.7
21.405,1.53,6.16,#######,9.22,59.92
21.34820513,1.52,5.86,#######,8.77,68.69
30.80365385,1.21,4.34,#######,6.5,75.19
9.755306122,1.08,3.42,#######,5.12,80.31
22.76894737,0.83,3.35,#######,5.01,85.32
13.7290678,0.7,2.89,#######,4.33,89.65
14.6988,0.77,2.59,#######,3.88,93.53
,,,,,
Group 27,,,,,
Average similarity: 61.23,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.88,12.67,#######,20.69,20.69
19.52538462,2.04,6.51,#######,10.63,31.32
21.34820513,1.55,4.55,#######,7.43,38.75
21.405,1.55,4.44,#######,7.24,45.99
33.63655172,1.34,4.02,#######,6.56,52.55
19.6197619,0.98,3.15,#######,5.14,57.69
15.74219178,1.22,3.13,#######,5.12,62.81
17.40942623,1.35,3.12,#######,5.1,67.91
21.49942857,0.95,2.97,#######,4.85,72.75
30.80365385,0.91,2.87,#######,4.68,77.44
22.76894737,0.89,2.49,#######,4.07,81.51
13.79738095,0.8,1.93,#######,3.14,84.65
21.57529412,0.55,1.83,#######,2.99,87.64
14.6988,0.51,1.66,#######,2.71,90.36
,,,,,
Group 28,,,,,
Average similarity: 53.09,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.85,12.4,#######,23.36,23.36
19.52538462,2.01,6.38,#######,12.02,35.39
21.34820513,1.71,5.51,#######,10.38,45.77
21.405,1.74,5.47,#######,10.31,56.08
22.76894737,1.23,3.85,#######,7.24,63.33
38.5183871,1.48,3.62,#######,6.81,70.14
19.6197619,0.97,2.22,#######,4.18,74.32
21.12214286,0.87,2.19,#######,4.13,78.44
30.80365385,0.66,1.99,#######,3.75,82.19
21.57529412,0.84,1.75,#######,3.3,85.49
9.755306122,0.73,1.54,#######,2.9,88.39
26.78859155,1.41,1.54,#######,2.9,91.29
,,,,,
Group 29,,,,,
Average similarity: 57.29,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.67,10.22,#######,17.84,17.84
19.52538462,1.97,5.61,#######,9.8,27.63
21.405,1.64,4.5,#######,7.85,35.49
26.78859155,2.25,4.27,#######,7.45,42.94
21.34820513,1.57,4.2,#######,7.33,50.27
22.76894737,1.33,3.77,#######,6.57,56.84
30.80365385,1.22,3.06,#######,5.34,62.19
19.6197619,0.89,2.41,#######,4.2,66.39
24.66947368,0.61,1.59,#######,2.77,69.16
22.98714286,0.5,1.36,#######,2.38,71.53
21.49942857,0.47,1.35,#######,2.35,73.88
34.26230769,0.58,1.33,#######,2.32,76.2
19.97269231,0.52,1.2,#######,2.09,78.3
27.68736842,0.41,1.14,#######,1.99,80.29
21.21238095,0.47,1.1,#######,1.92,82.21
20.361875,0.36,0.94,#######,1.64,83.85
13.7290678,0.32,0.86,#######,1.49,85.35
22.55076923,0.37,0.84,#######,1.47,86.81
20.45466667,0.36,0.77,#######,1.35,88.16
23.07416667,0.31,0.76,#######,1.32,89.49
14.05666667,0.28,0.7,#######,1.21,90.7
,,,,,
Group 3,,,,,
Average similarity: 35.48,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%, Cum.%
19.72268293,2.93,8.19,#######,23.08,23.08
19.52538462,2.32,6.95,#######,19.59,42.67
26.78859155,2.57,6.85,#######,19.3,61.97
15.45769231,1.51,5.07,#######,14.29,76.26
21.34820513,1.49,4.29,#######,12.1,88.36
11.04931818,1.56,4.13,#######,11.64,100
,,,,,
Group 30,,,,,
Average similarity: 51.49,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.76,6.58,#######,12.78,12.78
19.72268293,2.55,4.78,#######,9.29,22.07
16.3974359,1.78,4.52,#######,8.78,30.85
30.80365385,1.39,3.46,#######,6.71,37.56
37.0488,1.26,2.86,#######,5.56,43.12
21.57529412,1.46,2.7,#######,5.24,48.37
20.51086207,1.01,2.4,#######,4.67,53.04
17.40942623,0.91,2.25,#######,4.37,57.41
19.6197619,0.99,2.08,#######,4.05,61.46
19.66514286,0.86,1.96,#######,3.81,65.27
17.62533333,0.77,1.9,#######,3.7,68.96
14.6988,0.8,1.88,#######,3.65,72.61
16.2865,0.74,1.86,#######,3.61,76.22
17.95647059,0.7,1.72,#######,3.34,79.56
15.74219178,0.7,1.63,#######,3.17,82.73
13.86416667,0.82,1.62,#######,3.15,85.88
15.20823529,0.72,1.54,#######,3,88.88
19.20891892,0.75,1.33,#######,2.57,91.45
,,,,,
Group 31,,,,,
Average similarity: 64.97,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,3.16,6.93,#######,10.67,10.67
16.3974359,2.04,4.26,#######,6.56,17.23
19.72268293,1.72,3.58,#######,5.51,22.74
30.80365385,1.12,2.42,#######,3.72,26.46
14.6988,1.1,2.42,#######,3.72,30.18
16.2865,1.3,2.38,#######,3.66,33.84
9.755306122,0.96,2.06,#######,3.18,37.02
15.20823529,1.12,2.03,#######,3.13,40.15
20.8027027,1.05,1.99,#######,3.06,43.21
8.516153846,0.96,1.95,#######,3.01,46.21
15.74219178,1.01,1.93,#######,2.97,49.18
17.40942623,1,1.9,#######,2.92,52.1
26.78859155,1,1.87,#######,2.87,54.98
16.71571429,0.88,1.83,#######,2.81,57.79
13.79738095,0.79,1.74,#######,2.68,60.47
13.26172414,0.89,1.72,#######,2.65,63.12
20.51086207,0.86,1.7,#######,2.62,65.74
19.20891892,0.87,1.69,#######,2.61,68.35
19.66514286,0.78,1.65,#######,2.53,70.88
13.7290678,0.76,1.52,#######,2.35,73.23
12.66740741,0.68,1.45,#######,2.23,75.46
19.6197619,0.75,1.43,#######,2.2,77.66
13.86416667,0.81,1.42,#######,2.19,79.85
15.11,0.7,1.4,#######,2.15,82
16.97470588,0.69,1.39,#######,2.14,84.14
15.375625,0.67,1.33,#######,2.04,86.18
17.95647059,0.67,1.2,#######,1.85,88.03
37.0488,0.85,1.06,#######,1.64,89.67
22.59444444,0.52,1.05,#######,1.61,91.28
,,,,,
Group 33,,,,,
Average similarity: 66.50,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.71,5.71,#######,8.59,8.59
26.78859155,2.59,5.25,#######,7.9,16.49
19.72268293,2.36,5.25,#######,7.89,24.38
20.8027027,1.61,3.39,#######,5.1,29.48
21.57529412,1.56,3.11,#######,4.68,34.16
19.66514286,1.27,2.86,#######,4.3,38.46
19.20891892,1.29,2.82,#######,4.24,42.7
20.51086207,1.5,2.8,#######,4.21,46.91
17.40942623,1.32,2.69,#######,4.05,50.96
14.6988,1.15,2.6,#######,3.91,54.86
16.2865,1.04,2.15,#######,3.23,58.1
22.7275,1,2.12,#######,3.18,61.28
30.80365385,1.39,1.88,#######,2.82,64.1
