Group 10,,,,,
27.68736842,0.85,1.8,#######,2.71,66.81
23.036,0.82,1.77,#######,2.67,69.48
19.97269231,0.84,1.73,#######,2.61,72.09
22.76894737,0.76,1.61,#######,2.41,74.5
18.71884615,0.84,1.53,#######,2.3,76.8
15.74219178,0.65,1.44,#######,2.17,78.97
18.22411765,0.79,1.38,#######,2.07,81.04
20.361875,0.66,1.36,#######,2.04,83.08
22.98714286,0.59,1.25,#######,1.87,84.95
20.568,0.68,1.17,#######,1.77,86.72
20.25794118,0.53,1.11,#######,1.67,88.39
28.00727273,0.55,1.01,#######,1.52,89.91
29.02866667,0.47,0.92,#######,1.38,91.29
,,,,,
Group 35,,,,,
Average similarity: 65.07,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.81,6.31,#######,9.7,9.7
26.78859155,2.57,5.15,#######,7.92,17.62
16.3974359,2.11,4.77,#######,7.33,24.95
19.72268293,1.89,4.17,#######,6.41,31.36
8.904761905,1.68,3.55,#######,5.46,36.81
17.40942623,1.56,2.84,#######,4.36,41.17
13.79738095,1.48,2.76,#######,4.25,45.42
9.755306122,1.11,2.65,#######,4.08,49.5
19.52538462,1.24,2.59,#######,3.97,53.47
15.74219178,1.44,2.52,#######,3.87,57.35
19.66514286,0.97,2.44,#######,3.75,61.1
13.7290678,0.96,2.42,#######,3.72,64.82
14.6988,1.01,2.33,#######,3.58,68.4
16.71571429,0.92,2.19,#######,3.37,71.77
17.62533333,0.99,2.05,#######,3.16,74.93
12.66740741,0.9,1.99,#######,3.05,77.98
33.63655172,0.98,1.99,#######,3.05,81.03
16.2865,0.88,1.98,#######,3.04,84.07
21.57529412,0.83,1.96,#######,3.01,87.09
20.8027027,0.76,1.95,#######,2.99,90.08
,,,,,
Group 36,,,,,
Average similarity: 26.14,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.33,3.66,#######,14.01,14.01
19.72268293,1.7,2.94,#######,11.24,25.25
26.78859155,1.88,2.67,#######,10.2,35.45
16.3974359,1.64,2.51,#######,9.61,45.06
20.51086207,1.08,2.33,#######,8.93,53.99
21.57529412,0.95,1.71,#######,6.52,60.52
19.6197619,0.75,1.57,#######,6,66.52
19.66514286,0.86,1.46,#######,5.59,72.11
19.20891892,0.99,1.37,#######,5.26,77.36
20.8027027,0.73,1.17,#######,4.48,81.84
17.40942623,0.75,0.95,#######,3.64,85.48
16.2865,0.65,0.67,#######,2.56,88.05
19.05166667,0.54,0.64,#######,2.45,90.5
,,,,,
Group 37,,,,,
Average similarity: 70.44,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,4.05,15.45,#######,21.94,21.94
19.52538462,2.1,8.01,#######,11.37,33.31
21.405,1.76,6.78,#######,9.62,42.93
21.34820513,1.7,6.56,#######,9.31,52.23
9.755306122,1.17,3.7,#######,5.25,57.48
30.80365385,1.37,3.57,#######,5.06,62.55
22.76894737,0.98,3.48,#######,4.93,67.48
19.6197619,0.9,2.82,#######,4,71.48
26.78859155,1.28,2.36,#######,3.35,74.82
33.63655172,0.8,2.06,#######,2.92,77.74
21.57529412,0.52,1.99,#######,2.83,80.57
21.12214286,0.69,1.9,#######,2.7,83.28
15.45769231,0.51,1.84,#######,2.61,85.89
21.21238095,0.5,1.82,#######,2.58,88.47
18.71884615,0.44,1.56,#######,2.22,90.69
,,,,,
Group 38,,,,,
Average similarity: 67.64,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,3,7.06,#######,10.43,10.43
19.72268293,2.46,5.57,#######,8.23,18.67
16.3974359,2.26,4.84,#######,7.15,25.82
20.51086207,1.45,3.3,#######,4.88,30.7
21.12214286,1.24,2.91,#######,4.31,35.01
20.8027027,1.31,2.83,#######,4.18,39.19
21.57529412,1.28,2.61,#######,3.85,43.04
19.20891892,1.1,2.55,#######,3.77,46.81
19.66514286,1.11,2.5,#######,3.7,50.5
26.78859155,1.57,2.46,#######,3.64,54.14
17.40942623,1.03,2.39,#######,3.53,57.67
30.80365385,1.03,2.36,#######,3.48,61.16
14.6988,1.05,2.29,#######,3.38,64.54
16.2865,0.85,1.98,#######,2.93,67.46
9.693125,0.94,1.87,#######,2.76,70.23
9.755306122,0.81,1.87,#######,2.76,72.98
19.05166667,0.86,1.84,#######,2.72,75.7
22.55076923,0.89,1.81,#######,2.68,78.38
17.95647059,0.89,1.75,#######,2.59,80.97
15.20823529,0.85,1.74,#######,2.57,83.53
15.74219178,0.72,1.68,#######,2.49,86.02
13.7290678,0.73,1.61,#######,2.38,88.39
15.375625,0.63,1.5,#######,2.22,90.61
,,,,,
Group 39,,,,,
Average similarity: 58.55,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.3,4.26,#######,7.28,7.28
37.56363636,1.77,3.76,#######,6.42,13.7
38.5183871,1.74,3.65,#######,6.23,19.93
33.63655172,1.66,3.42,#######,5.85,25.78
19.72268293,1.81,3.16,#######,5.4,31.18
20.51086207,1.26,2.75,#######,4.7,35.89
16.3974359,1.68,2.54,#######,4.33,40.22
21.57529412,0.99,2.05,#######,3.49,43.72
26.78859155,2.14,1.98,#######,3.39,47.1
37.0488,0.89,1.89,#######,3.24,50.34
8.47375,1.43,1.89,#######,3.23,53.57
19.6197619,1.06,1.8,#######,3.07,56.64
30.80365385,0.9,1.73,#######,2.95,59.59
20.361875,0.83,1.71,#######,2.93,62.52
19.20891892,0.87,1.67,#######,2.85,65.37
19.66514286,0.91,1.51,#######,2.58,67.95
15.538,1.13,1.36,#######,2.33,70.28
19.86137931,0.66,1.24,#######,2.12,72.4
20.8027027,0.68,1.19,#######,2.03,74.43
14.6988,0.6,1.08,#######,1.84,76.27
20.84133333,0.65,1.06,#######,1.81,78.08
17.62533333,0.71,1,#######,1.71,79.79
15.20823529,0.58,0.98,#######,1.67,81.47
16.2865,0.57,0.96,#######,1.63,83.1
17.40942623,0.66,0.93,#######,1.59,84.69
17.95647059,0.57,0.84,#######,1.44,86.13
9.755306122,0.4,0.79,#######,1.34,87.47
19.05166667,0.55,0.76,#######,1.3,88.78
9.7,0.53,0.75,#######,1.29,90.07
,,,,,
Group 4,,,,,
Average similarity: 57.31,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.72,16.5,#######,28.8,28.8
19.72268293,3.21,13.98,#######,24.4,53.2
8.904761905,1.78,7.49,#######,13.07,66.27
19.52538462,1.74,7.13,#######,12.44,78.71
21.34820513,1.32,5.05,#######,8.82,87.53
21.405,1.2,4.5,#######,7.85,95.37
,,,,,
Group 40,,,,,
Average similarity: 45.21,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.48,10.55,#######,23.34,23.34
20.361875,2.81,8.98,#######,19.87,43.22
19.52538462,1.57,4.4,#######,9.73,52.95
21.405,1.33,3.81,#######,8.43,61.37
21.34820513,1.2,3.48,#######,7.69,69.07
30.80365385,1.17,3.16,#######,6.98,76.05
22.76894737,0.74,2.54,#######,5.63,81.68
18.71884615,0.41,1.37,#######,3.04,84.72
19.6197619,0.46,1.25,#######,2.76,87.47
21.12214286,0.58,1.22,#######,2.69,90.16
,,,,,
Group 41,,,,,
Average similarity: 58.22,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.82,12.35,#######,21.22,21.22
19.52538462,1.98,6.3,#######,10.83,32.04
21.405,1.65,5.11,#######,8.78,40.83
21.34820513,1.62,4.93,#######,8.47,49.3
30.80365385,1.6,4.93,#######,8.47,57.77
22.76894737,0.97,2.99,#######,5.14,62.91
26.78859155,1.42,2.95,#######,5.06,67.97
19.6197619,0.79,2.56,#######,4.39,72.36
13.79738095,0.75,2.18,#######,3.74,76.11
15.74219178,0.77,2.13,#######,3.66,79.77
20.51086207,0.67,2.08,#######,3.58,83.35
17.40942623,0.7,1.95,#######,3.34,86.69
21.57529412,0.71,1.81,#######,3.11,89.8
13.7290678,0.53,1.54,#######,2.65,92.45
,,,,,
Group 43,,,,,
Average similarity: 61.33,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,4.05,14.59,#######,23.79,23.79
19.72268293,2,7.27,#######,11.85,35.64
30.80365385,1.72,5.49,#######,8.96,44.6
19.52538462,1.24,4.21,#######,6.87,51.47
13.7290678,1.12,4.16,#######,6.79,58.26
9.755306122,1.08,3.06,#######,4.98,63.24
21.34820513,0.87,2.78,#######,4.53,67.77
17.40942623,0.93,2.32,#######,3.79,71.56
14.6988,0.81,2.14,#######,3.49,75.05
20.51086207,0.72,1.96,#######,3.2,78.25
13.18133333,0.75,1.88,#######,3.07,81.32
13.26172414,0.55,1.8,#######,2.94,84.26
19.6197619,0.68,1.77,#######,2.89,87.15
15.45769231,0.55,1.69,#######,2.75,89.9
29.02866667,0.91,1.68,#######,2.75,92.65
,,,,,
Group 44,,,,,
Average similarity: 56.24,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,2.65,7.33,#######,13.03,13.03
19.72268293,2.46,6.76,#######,12.02,25.05
8.904761905,2.5,6.36,#######,11.31,36.36
19.52538462,2.05,5.5,#######,9.77,46.14
30.80365385,1.91,5.19,#######,9.22,55.36
21.34820513,1.14,3.11,#######,5.53,60.89
21.12214286,1.47,3.11,#######,5.52,66.41
9.755306122,1.23,2.9,#######,5.15,71.56
21.405,1.17,2.7,#######,4.8,76.35
13.7290678,1.39,2.66,#######,4.72,81.08
17.325,0.98,2.4,#######,4.27,85.35
14.6988,0.93,2.21,#######,3.93,89.28
15.45769231,0.8,2.2,#######,3.91,93.19
,,,,,
Group 45,,,,,
Average similarity: 44.72,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
30.80365385,2.67,5.79,#######,12.95,12.95
19.72268293,2.36,5.32,#######,11.91,24.86
19.05166667,1.35,3.03,#######,6.78,31.64
33.63655172,1.21,2.68,#######,6,37.64
21.405,1.67,2.58,#######,5.78,43.42
20.51086207,1.06,2.21,#######,4.93,48.35
9.755306122,1.01,2.16,#######,4.83,53.18
21.57529412,1.11,2.14,#######,4.79,57.97
20.361875,1.08,2.08,#######,4.66,62.63
15.45769231,1.2,1.89,#######,4.22,66.85
14.6988,0.86,1.6,#######,3.57,70.43
10.22,1.01,1.55,#######,3.48,73.9
22.98714286,0.59,1.32,#######,2.95,76.85
12.66740741,0.6,1.26,#######,2.81,79.66
28.035,0.48,0.88,#######,1.96,81.62
13.7290678,0.47,0.79,#######,1.76,83.37
20.25794118,0.33,0.73,#######,1.64,85.01
16.2865,0.41,0.63,#######,1.42,86.43
15.74219178,0.32,0.63,#######,1.41,87.85
16.20714286,0.34,0.59,#######,1.32,89.16
34.11,0.27,0.56,#######,1.25,90.42
,,,,,
Group 46,,,,,
Average similarity: 54.01,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,1.65,3.26,#######,6.04,6.04
15.62272727,1.62,3.24,#######,5.99,12.03
20.361875,2.26,3.15,#######,5.83,17.86
26.78859155,1.43,2.84,#######,5.26,23.12
30.80365385,1.41,2.64,#######,4.88,28
21.405,1.07,1.92,#######,3.55,31.54
17.40942623,0.97,1.84,#######,3.4,34.95
15.538,0.97,1.75,#######,3.24,38.19
21.49942857,0.89,1.49,#######,2.76,40.95
20.45466667,0.94,1.46,#######,2.7,43.64
18.22411765,0.87,1.39,#######,2.58,46.22
19.86137931,0.71,1.19,#######,2.21,48.43
37.0488,0.84,1.1,#######,2.03,50.47
15.74219178,0.65,1.08,#######,2,52.46
21.21238095,0.65,1.06,#######,1.97,54.43
23.51777778,1.16,1.05,#######,1.94,56.37
14.05666667,0.6,1.03,#######,1.91,58.28
22.76894737,0.74,1.03,#######,1.9,60.18
20.25794118,0.48,0.95,#######,1.76,61.94
23.07416667,0.52,0.94,#######,1.74,63.68
24.66947368,0.52,0.94,#######,1.73,65.42
22.59444444,0.53,0.91,#######,1.69,67.11
22.98714286,0.53,0.82,#######,1.52,68.62
9.693125,0.52,0.82,#######,1.51,70.14
19.20891892,0.43,0.78,#######,1.44,71.58
29.02866667,0.41,0.78,#######,1.44,73.02
19.97269231,0.37,0.73,#######,1.35,74.37
23.2525,1.11,0.72,#######,1.34,75.71
20.51086207,0.4,0.68,#######,1.26,76.97
16.2865,0.33,0.64,#######,1.19,78.15
24.59083333,0.39,0.6,#######,1.11,79.26
9.755306122,0.41,0.59,#######,1.09,80.35
27.68736842,0.32,0.59,#######,1.08,81.44
13.79738095,0.3,0.57,#######,1.06,82.5
21.82333333,0.38,0.55,#######,1.02,83.52
15.30333333,0.27,0.54,#######,1,84.52
22.16,0.81,0.54,#######,1,85.52
14.25,0.32,0.5,#######,0.92,86.44
14.29833333,0.27,0.49,#######,0.91,87.35
13.86416667,0.55,0.45,#######,0.84,88.19
24.7775,0.24,0.45,#######,0.84,89.02
24.26,0.27,0.43,#######,0.8,89.83
24.325,0.25,0.43,#######,0.79,90.62
,,,,,
Group 47,,,,,
Average similarity: 50.90,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.08,9.53,#######,18.72,18.72
19.72268293,2.33,6.9,#######,13.55,32.28
13.79738095,2.62,6.34,#######,12.45,44.73
17.40942623,2.08,5.14,#######,10.1,54.83
15.74219178,2.27,4.91,#######,9.65,64.48
13.7290678,1.45,4.63,#######,9.1,73.58
30.80365385,1.52,4.33,#######,8.51,82.09
20.25794118,1.34,4.13,#######,8.11,90.2
,,,,,
Group 48,,,,,
Average similarity: 44.58,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.41,8.07,#######,18.11,18.11
19.72268293,2.48,6.69,#######,15.02,33.13
30.80365385,1.75,3.38,#######,7.58,40.71
21.34820513,1.1,3.11,#######,6.99,47.7
21.405,1.03,2.94,#######,6.58,54.29
22.76894737,0.94,2.68,#######,6.01,60.29
17.40942623,0.84,1.64,#######,3.68,63.97
19.86137931,0.7,1.63,#######,3.66,67.63
21.21238095,0.55,1.55,#######,3.48,71.11
13.7290678,0.59,1.52,#######,3.42,74.52
21.49942857,0.53,1.38,#######,3.1,77.63
20.361875,0.44,1.24,#######,2.78,80.41
12.39733333,0.44,0.98,#######,2.21,82.62
19.97269231,0.44,0.94,#######,2.1,84.72
18.71884615,0.51,0.88,#######,1.97,86.69
37.07363636,0.33,0.83,#######,1.85,88.55
21.57529412,0.3,0.82,#######,1.83,90.38
,,,,,
Group 5,,,,,
Average similarity: 68.76,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.43,11.76,#######,17.11,17.11
26.78859155,3.25,10.65,#######,15.49,32.59
19.52538462,1.99,6.51,#######,9.46,42.06
21.34820513,1.66,5.3,#######,7.71,49.77
21.405,1.62,5.25,#######,7.64,57.41
30.80365385,1.59,4.86,#######,7.06,64.47
19.6197619,1.01,3.57,#######,5.19,69.66
22.76894737,0.98,3.03,#######,4.4,74.06
13.7290678,0.79,2.73,#######,3.98,78.04
21.49942857,0.75,2.4,#######,3.5,81.53
37.00818182,1.12,2.39,#######,3.47,85
21.12214286,0.69,2.38,#######,3.46,88.46
10.471875,0.64,2.24,#######,3.25,91.72
,,,,,
Group 6,,,,,
Average similarity: 33.15,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,2.6,6.18,#######,18.63,18.63
15.45769231,2.03,3.59,#######,10.83,29.46
19.72268293,1.6,3.57,#######,10.76,40.22
15.74219178,1.71,3.55,#######,10.69,50.92
17.40942623,1.8,2.85,#######,8.61,59.52
9.755306122,1.51,2.32,#######,7,66.53
16.2865,0.9,2.2,#######,6.62,73.15
19.66514286,0.89,2.13,#######,6.43,79.58
13.79738095,1.1,2.1,#######,6.34,85.92
22.55076923,0.87,1.88,#######,5.66,91.58
,,,,,
Group 7,,,,,
Average similarity: 38.02,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,3,9.42,#######,24.77,24.77
19.72268293,2.53,7.42,#######,19.52,44.29
16.3974359,1.91,6.06,#######,15.95,60.24
9.755306122,1.67,5.01,#######,13.19,73.43
15.74219178,1.11,3.89,#######,10.23,83.66
17.62533333,1.1,3.57,#######,9.39,93.05
,,,,,
Group 8,,,,,
Average similarity: 45.50,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%, Cum.%
15.45769231,2.94,13.33,#######,29.31,29.31
19.72268293,3.06,12.53,#######,27.54,56.85
8.904761905,2.61,10.66,#######,23.43,80.28
16.3974359,2.24,8.97,#######,19.72,100
,,,,,
Group 9,,,,,
Average similarity: 58.16,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.46,8.7,#######,14.96,14.96
19.52538462,1.82,4.35,#######,7.47,22.43
21.49942857,1.5,3.7,#######,6.37,28.8
26.78859155,1.73,3.63,#######,6.24,35.04
21.34820513,1.36,3.24,#######,5.57,40.61
21.405,1.31,3.18,#######,5.47,46.08
9.693125,1.31,3.06,#######,5.27,51.35
30.80365385,1.27,3.04,#######,5.22,56.57
13.79738095,1.06,2.63,#######,4.52,61.08
10.75428571,1,2.17,#######,3.73,64.81
16.71571429,1.37,2.08,#######,3.57,68.39
13.35666667,0.9,2.05,#######,3.53,71.91
15.74219178,0.92,1.84,#######,3.16,75.07
11.04931818,1.15,1.75,#######,3.02,78.09
13.26172414,0.73,1.71,#######,2.93,81.02
19.6197619,0.91,1.67,#######,2.86,83.88
22.76894737,0.69,1.66,#######,2.86,86.74
15.45769231,1.05,1.5,#######,2.58,89.32
17.40942623,0.73,1.49,#######,2.56,91.88
